complaint,department
"Fish market waste thrown on road intolerable rotten stench between Mahalakshmi Layout and Station T-Junction, please take action immediately.",Sanitation
"Sir, open drain in front of our gate school children can fall inside opposite police station. Nobody is responding.",Drainage
Very serious hazard: defective countdown timer on traffic lights skipping from 60 to 0 seconds opposite mosque corner! It is sudden panic braking causing rear-end collisions. Immediate action requested.,Traffic
"Phase missing in our house only half lights working please fix fuse behind Co-operative Bank, please take action immediately.",Electricity
"Sir, colony borewell motor spoiled please send mechanic urgently outside City Library. Nobody is responding.",Water
"Due to deep drain construction trench left abandoned without safety boards outside Fish Market Yard, it is water collecting inside and turning into stagnant breeding pool.",Drainage
"In Vinayaka Nagar Ward 28, open drain in front of our gate school children can fall inside every evening. Very difficult situation.",Drainage
Public safety at severe risk: public drinking water tap leaking non-stop 24 hours a day between Tilak Road Extension and Gandhi Circle! It is clean potable water flowing down into gutter. Immediate action requested.,Water
"Entire streetlights along the 2 km stretch completely dark for weeks close to government high school, female commuters and pedestrians feeling unsafe at night.",Electricity
"Right in front of govt girls hostel, main water pipe is broken drinking water running on road wastefully. Kindly resolve.",Water
watertanker did not cm today peopl strugling for watr ward 82 since 2 days kindly fix,Water
"At ward 127, our ward getting only 20 mins water while other areas getting 2 hours. Kindly resolve.",Water
"In Vivekananda Colony Ward 2, electric pole is bent dangerously can fall any time please remove since yesterday. Very difficult situation.",Electricity
"Near bus stop, crematorium furnace not working people waiting with dead body in grief. Kindly resolve.",Municipal Services
"Sir, no water coming in taps since last 4 days kindly supply tanker on Cross Road 4, Ward 153. Nobody is responding.",Water
Public safety at severe risk: deep drain construction trench left abandoned without safety boards on Station Approach Road! It is water collecting inside and turning into stagnant breeding pool. Immediate action requested.,Drainage
plz help illegl parkng blockng entir stret buses stck on Inner Circular Road,Traffic
Illegal dumping of commercial restaurant food waste and chicken offal at Collectorate Circle.,Sanitation
This is to report that there is a road level difference between old and new asphalt patch near civil hospital gate. This is creating sharp 4-inch ridge across lane. Kindly take remedial action.,Roads
urgent ovrflowin dustbin dogs scatring west on rad Tilak Road Extension near weekly bazaar ground,Sanitation
"Too many mosquitoes in our area dengue cases increasing please fog in Kuvempu Nagar, please take action immediately.",Public Health
"Gas and electric furnace at municipal crematorium out of order at Ward 148, bereaved families forced to wait over eight hours with mortal remains.",Municipal Services
"Due to concrete median road divider broken and knocked down by collision opposite primary health centre, it is vehicles making dangerous unauthorized U-turns across oncoming lane.",Traffic
unhygenic foud stall causng stumach infaction near crematorium ground GIDC Road,Public Health
"In Vidya Nagar Ward 19, dangerous speed breaker without white zebra stripes riders getting hurt from last 3 days. Very difficult situation.",Roads
"Stray dog carcass left unburied near community water handpump at the entry of Postal Layout, biological contamination of shallow ground water table.",Public Health
Open gym machines in garden are rusted and jammed not moving at all opposite town hall every evening.,Municipal Services
watr loging knee dep aftr smal rain no drange outlt ward 45 since 2 days kindly fix,Drainage
Civic issue reported: there is a broken municipal air release valve spraying drinking water into air near Gandhi Gram main gate. This is surrounding properties getting waterlogged with clean water. Kindly take remedial action.,Water
"Electrical meter box on public utility pole burst into flames opposite rotary circle, fire hazard threatening adjacent residential power connections.",Electricity
"Sir, no zebra crossing for pedestrians impossible to cross this wide road outside Govt Primary School. Nobody is responding.",Traffic
"Sir please look into this, open electrical junction feeder pillar with exposed 440V live busbars on Hospital Road, children playing nearby at grave risk of fatal shock. Please send team as soon as possible.",Electricity
Please resolve issue where there is a massive open garbage dump accumulated on the roadside along Inner Circular Road. This is stray dogs and cattle scattering rotting waste across the road. Kindly take remedial action.,Sanitation
Civic issue reported: there is a shade gazebo roof in municipal rose garden collapsed under rain weight along Inner Circular Road. This is broken wooden beams hanging hazardously over seating area. Kindly take remedial action.,Municipal Services
Sanitation auto not coming to our street trash piled up in homes for past one week right in front of Urban Health Post. High danger.,Sanitation
Broken manhole slab car wheel got stuck please replace cover at Shivaji Circle every evening.,Drainage
"Sir, municipal ward office staff not available during public complaint hours at University Cross. Nobody is responding.",Municipal Services
"Sir, water tanker driver demanding extra money and not giving full water near Netaji Nagar main gate. Nobody is responding.",Water
Broken streetlight glass luminaire hanging precariously by thin wire at the entry of Adarsh Layout.,Electricity
"Respected sir, drainage pipe cracked and leaking foul sewage water into building foundations along Station Road, stink and dampness seeping through basement walls. Please send team as soon as possible.",Drainage
"In Green Glen Layout Ward 53, traffic signal is not working big traffic jam at junction from last 3 days. Very difficult situation.",Traffic
"Due to sanitation collection vehicle demanding cash bribes to lift segregated waste behind Urban Health Post, it is refusing collection if unpaid.",Sanitation
Open storm gutter without covering slab running in front of primary school close to petrol pump.,Drainage
plz help wter presure to low tps runing dry pleas help on Church Road,Water
Requesting immediate action as there is a unauthorized medical dispensary discarding used syringes and blood tubes into open lot in Vikas Enclave. This is grave danger of Hepatitis and HIV contamination. Kindly take remedial action.,Public Health
